episode,score,total_score,eval_score,d2qn_score,d2qn_total_score,d2qn_eval_score
644,44,27352,120.3,120,21180,119.02
645,52,27404,120.31,193,21373,119.06
646,65,27469,120.32,175,21548,119.09
647,40,27509,120.33,195,21743,119.14
648,76,27585,120.34,251,21994,119.19
649,33,27618,120.35,135,22129,119.21
650,55,27673,120.36,132,22261,119.24
651,59,27732,120.37,134,22395,119.27
652,118,27850,120.4,119,22514,119.29
653,88,27938,120.42,25,22539,119.3
654,141,28079,120.45,131,22670,119.33
655,204,28283,120.49,132,22802,119.35
656,131,28414,120.52,127,22929,119.38
657,123,28537,120.54,125,23054,119.41
658,86,28623,120.56,132,23186,119.43
659,135,28758,120.59,123,23309,119.46
660,139,28897,120.62,140,23449,119.49
661,160,29057,120.65,160,23609,119.52
662,113,29170,120.67,154,23763,119.55
663,123,29293,120.7,131,23894,119.58
664,115,29408,120.72,104,23998,119.6
665,101,29509,120.74,187,24185,119.64
666,99,29608,120.76,181,24366,119.68
667,75,29683,120.78,157,24523,119.71
668,98,29781,120.8,139,24662,119.74
669,95,29876,120.82,174,24836,119.77
670,84,29960,120.83,154,24990,119.81
671,36,29996,120.84,127,25117,119.83
672,92,30088,120.86,131,25248,119.86
673,33,30121,120.87,157,25405,119.89
674,22,30143,120.87,148,25553,119.92
675,32,30175,120.88,108,25661,119.95
676,33,30208,120.89,110,25771,119.97
677,29,30237,120.89,111,25882,119.99
678,28,30265,120.9,116,25998,120.02
679,26,30291,120.9,114,26112,120.04
680,32,30323,120.91,122,26234,120.06
681,30,30353,120.92,116,26350,120.09
682,32,30385,120.92,120,26470,120.11
683,31,30416,120.93,110,26580,120.14
684,27,30443,120.93,146,26726,120.17
685,28,30471,120.94,139,26865,120.19
686,17,30488,120.94,115,26980,120.22
687,28,30516,120.95,128,27108,120.24
688,18,30534,120.95,125,27233,120.27
689,21,30555,120.96,127,27360,120.3
690,16,30571,120.96,120,27480,120.32
691,21,30592,120.97,106,27586,120.34
692,25,30617,120.97,109,27695,120.37
693,29,30646,120.98,114,27809,120.39
694,26,30672,120.98,151,27960,120.42
695,32,30704,120.99,170,28130,120.46
696,30,30734,121,166,28296,120.49
697,30,30764,121,150,28446,120.52
698,26,30790,121.01,182,28628,120.56
699,28,30818,121.01,156,28784,120.59
700,32,30850,121.02,123,28907,120.62
701,91,30941,121.04,123,29030,120.64
