episode,score,total_score,eval_score
394,10.00,5518.00,115.78
395,16.00,5534.00,115.78
396,15.00,5549.00,115.78
397,13.00,5562.00,115.79
398,11.00,5573.00,115.79
399,12.00,5585.00,115.79
400,15.00,5600.00,115.80
401,10.00,5610.00,115.80
402,12.00,5622.00,115.80
403,13.00,5635.00,115.80
404,13.00,5648.00,115.81
405,13.00,5661.00,115.81
406,17.00,5678.00,115.81
407,15.00,5693.00,115.81
408,14.00,5707.00,115.82
409,15.00,5722.00,115.82
410,15.00,5737.00,115.82
411,15.00,5752.00,115.83
412,16.00,5768.00,115.83
413,12.00,5780.00,115.83
414,20.00,5800.00,115.84
415,22.00,5822.00,115.84
416,24.00,5846.00,115.85
417,19.00,5865.00,115.85
418,19.00,5884.00,115.85
419,18.00,5902.00,115.86
420,27.00,5929.00,115.86
421,26.00,5955.00,115.87
422,31.00,5986.00,115.88
423,26.00,6012.00,115.88
424,29.00,6041.00,115.89
425,21.00,6062.00,115.89
426,22.00,6084.00,115.90
427,35.00,6119.00,115.90
428,20.00,6139.00,115.91
429,29.00,6168.00,115.91
430,24.00,6192.00,115.92
431,26.00,6218.00,115.92
432,19.00,6237.00,115.93
433,22.00,6259.00,115.93
434,38.00,6297.00,115.94
435,28.00,6325.00,115.95
436,69.00,6394.00,115.96
437,44.00,6438.00,115.97
438,70.00,6508.00,115.98
439,73.00,6581.00,116.00
440,50.00,6631.00,116.01
441,51.00,6682.00,116.02
442,51.00,6733.00,116.03
443,75.00,6808.00,116.05
444,47.00,6855.00,116.05
445,40.00,6895.00,116.06
446,35.00,6930.00,116.07
447,38.00,6968.00,116.08
448,28.00,6996.00,116.08
449,33.00,7029.00,116.09
450,34.00,7063.00,116.10
451,32.00,7095.00,116.10
452,15.00,7110.00,116.11
453,33.00,7143.00,116.11
454,32.00,7175.00,116.12
455,28.00,7203.00,116.13
456,17.00,7220.00,116.13
457,26.00,7246.00,116.14
458,22.00,7268.00,116.14
459,22.00,7290.00,116.14
460,17.00,7307.00,116.15
461,20.00,7327.00,116.15
462,15.00,7342.00,116.16
463,23.00,7365.00,116.16
464,16.00,7381.00,116.16
465,20.00,7401.00,116.17
466,24.00,7425.00,116.17
467,21.00,7446.00,116.18
468,21.00,7467.00,116.18
469,25.00,7492.00,116.19
470,18.00,7510.00,116.19
471,25.00,7535.00,116.20
472,19.00,7554.00,116.20
473,25.00,7579.00,116.20
474,24.00,7603.00,116.21
475,31.00,7634.00,116.22
476,37.00,7671.00,116.22
477,36.00,7707.00,116.23
478,23.00,7730.00,116.24
479,39.00,7769.00,116.24
480,29.00,7798.00,116.25
481,39.00,7837.00,116.26
482,39.00,7876.00,116.27
483,37.00,7913.00,116.27
484,27.00,7940.00,116.28
485,61.00,8001.00,116.29
486,33.00,8034.00,116.30
487,28.00,8062.00,116.30
488,44.00,8106.00,116.31
489,36.00,8142.00,116.32
490,37.00,8179.00,116.33
491,39.00,8218.00,116.34
492,43.00,8261.00,116.35
493,35.00,8296.00,116.35
494,24.00,8320.00,116.36
495,28.00,8348.00,116.36
496,32.00,8380.00,116.37
497,27.00,8407.00,116.38
498,37.00,8444.00,116.38
499,42.00,8486.00,116.39
500,49.00,8535.00,116.40
501,39.00,8574.00,116.41
502,18.00,8592.00,116.41
503,24.00,8616.00,116.42
504,28.00,8644.00,116.43
505,19.00,8663.00,116.43
506,19.00,8682.00,116.43
507,23.00,8705.00,116.44
508,17.00,8722.00,116.44
509,20.00,8742.00,116.45
510,13.00,8755.00,116.45
511,15.00,8770.00,116.45
512,17.00,8787.00,116.45
513,16.00,8803.00,116.46
514,14.00,8817.00,116.46
515,12.00,8829.00,116.46
516,16.00,8845.00,116.47
517,15.00,8860.00,116.47
518,11.00,8871.00,116.47
519,13.00,8884.00,116.47
520,12.00,8896.00,116.48
521,13.00,8909.00,116.48
522,17.00,8926.00,116.48
523,13.00,8939.00,116.49
524,11.00,8950.00,116.49
525,13.00,8963.00,116.49
526,16.00,8979.00,116.49
527,17.00,8996.00,116.50
528,15.00,9011.00,116.50
529,14.00,9025.00,116.50
530,15.00,9040.00,116.51
531,15.00,9055.00,116.51
532,12.00,9067.00,116.51
533,19.00,9086.00,116.52
534,17.00,9103.00,116.52
